id,city,name,check_in,check_out,price_per_night_usd,rating,amenities
HT0001,New York,The Manhattan Grand,,,358.54,4.6,Concierge; Laundry; Pool; Pet-friendly; Rooftop
HT0002,New York,Brooklyn Loft Hotel,,,378.96,2.9,Gym; Spa; Rooftop; Business center
HT0003,New York,Central Park Suites,,,190.63,4.0,Business center; Pool; Parking
HT0004,New York,Hudson Yards Inn,,,207.31,4.9,Spa; Restaurant; Gym; Laundry
HT0005,New York,Times Square Premier,,,223.92,2.9,Rooftop; Business center; Concierge; Restaurant; Gym; Pet-friendly; Spa
HT0006,New York,Soho Boutique Hotel,,,374.91,4.9,Business center; Parking; WiFi
HT0007,New York,The Midtown Classic,,,389.74,3.1,Gym; Laundry; WiFi
HT0008,New York,East River Lodge,,,212.8,4.1,Bar; WiFi; Concierge; Pet-friendly; Rooftop; Parking
HT0009,New York,Fifth Avenue Hotel,,,131.41,3.2,Parking; Pet-friendly; Spa; Laundry; Restaurant; Rooftop; Concierge
HT0010,New York,NoMad House,,,366.92,3.6,Bar; Business center; Gym; Restaurant; Laundry; Parking; Spa
HT0011,Los Angeles,Sunset Strip Hotel,,,183.63,4.5,Laundry; Bar; Rooftop
HT0012,Los Angeles,Beverly Hills Retreat,,,440.03,4.6,Laundry; WiFi; Rooftop; Gym; Pool; Pet-friendly
HT0013,Los Angeles,Santa Monica Pier Inn,,,403.39,3.3,Rooftop; Restaurant; Gym
HT0014,Los Angeles,Hollywood Grand,,,427.85,5.0,Rooftop; Pool; Business center; Gym; Parking; Pet-friendly
HT0015,Los Angeles,The Silver Lake,,,160.52,4.4,Gym; Laundry; Spa; WiFi
HT0016,Los Angeles,Downtown LA Loft,,,219.56,3.1,Concierge; Gym; Business center; Rooftop; WiFi; Parking; Restaurant
HT0017,Los Angeles,Venice Beach Resort,,,398.22,3.1,Gym; Bar; Business center; Pool; Concierge; Laundry; Parking
HT0018,Los Angeles,Griffith Park Lodge,,,189.23,4.9,Rooftop; Concierge; Parking; Spa
HT0019,Los Angeles,Echo Park Hotel,,,204.89,4.3,Restaurant; Parking; Rooftop; Laundry; Pet-friendly; Spa
HT0020,Los Angeles,Culver City Inn,,,164.15,4.3,WiFi; Pool; Restaurant; Rooftop; Concierge
HT0021,Chicago,The Magnificent Mile Hotel,,,364.25,4.5,Pool; WiFi; Parking; Gym; Rooftop; Spa; Business center
HT0022,Chicago,Millennium Park Lodge,,,301.91,3.1,Parking; Gym; Business center; Concierge
HT0023,Chicago,Wicker Park Inn,,,133.45,4.3,Pool; Spa; Restaurant; Gym; Parking
HT0024,Chicago,Navy Pier Suites,,,362.81,2.5,Spa; Pet-friendly; Gym; Restaurant
HT0025,Chicago,The Loop Hotel,,,125.94,4.1,Rooftop; Restaurant; Business center
HT0026,Chicago,River North Grand,,,356.45,3.6,Spa; Laundry; Pet-friendly; Restaurant; Pool; Rooftop
HT0027,Chicago,Lincoln Park Retreat,,,430.82,2.6,Business center; Bar; Restaurant
HT0028,Chicago,Hyde Park Inn,,,404.45,4.2,Pool; Laundry; Pet-friendly; Parking; Gym
HT0029,Chicago,Gold Coast Suites,,,306.19,4.0,Restaurant; Spa; Rooftop; Pool; Concierge; Bar
HT0030,Chicago,Pilsen Boutique,,,109.39,2.8,Spa; Laundry; Pet-friendly; Parking; Rooftop
HT0031,Miami,South Beach Grand,,,240.07,4.6,Business center; Restaurant; Laundry; Rooftop; Bar
HT0032,Miami,Art Deco Inn,,,299.88,3.1,Pool; WiFi; Business center; Pet-friendly; Spa
HT0033,Miami,Brickell City Hotel,,,275.83,4.8,Laundry; Restaurant; Pool; Pet-friendly; Parking; Business center
HT0034,Miami,Wynwood Boutique,,,437.02,3.1,WiFi; Concierge; Pool; Laundry; Rooftop; Business center
HT0035,Miami,Coconut Grove Resort,,,372.73,4.6,Laundry; Concierge; Parking; Business center; WiFi; Gym; Bar
HT0036,Miami,Little Havana Suites,,,154.07,4.1,Rooftop; WiFi; Parking; Concierge; Laundry; Pool; Restaurant
HT0037,Miami,Coral Gables Hotel,,,394.79,3.1,Pool; Restaurant; Parking; WiFi; Pet-friendly
